module,needed,purpose,plan
ApplicationSupport,,,
Base,,,
Base_Base,,,
BinIO,,,
CFIOCollection,,,
cub2latlon_regridder,,,
ESMF_CFIOPtrVectorMod,,,
ESMFL_Mod,,,
FileIOShared,,,
FileMetadataUtilities,,,
FileMetadataUtilitiesVector,,,
HorizontalFluxRegridder,,,
LDE,,,
MAPL_AbstractGridFactory,,,
MAPL_AbstractRegridder,,,
MAPL_CFIO,,,
MAPL_Comms,,,
MAPL_Config,,,
MAPL_ConservativeRegridder,,,
MAPL_CubedSphereGridFactory,,,
MAPL_DateTime_Parsing_ESMF,,,
MAPL_EASEConversion,,,
MAPL_EASEGridFactory,,,
MAPL_EsmfRegridder,,,
MAPL_ESMFTimeVectorMod,,,
MAPL_EtaHybridVerticalCoordinate,,,
MAPL_ExternalGridFactory,,,
MAPL_FractionalRegridder,,,
MAPL_GetLatLonCoord,,,
MAPL_GridManager,,,
MAPL_GridSpec,,,
MAPL_GridType,,,
MAPL_IdentityRegridder,,,
MAPL_Integer64GridFactoryMap,,,
MAPL_IO,,,
MAPL_ISO8601_DateTime_ESMF,,,
MAPL_LatLonGridFactory,,,
MAPL_LatLonToLatLonRegridder,,,
MAPL_LlcGridFactory,,,
MAPL_LocStreamFactoryMod,,,
MAPL_LocStreamMod,,,
MAPL_LocstreamRegridder,,,
MAPL_MemUtils,,,
MAPL_NetCDF,,,
MAPL_ObsUtil,,,
MAPL_RegridderManager,,,
MAPL_RegridderTypeSpecRegridderMap,,,
MAPL_RegridderVector,,,
MAPL_Resource,,,
MAPL_SatVapor,,,
MAPL_SimpleAlarm,,,
MAPL_SphericalGeometry,,,
MAPL_StringGridFactoryMap,,,
MAPL_StringGridMap,,,
MAPL_StringRouteHandleMap,,,
MAPL_sun_uc,,,
MAPL_SwathGridFactory,,,
MAPL_TilingRegridder,,,
MAPL_TimeMethods,,,
MAPL_TransposeRegridder,,,
MAPL_TripolarGridFactory,,,
MAPL_VerticalMethods,,,
MAPL_VotingRegridder,,,
MAPL_XYGridFactory,,,
MaplGrid,,,
MockGridFactory,,,
MockRegridder,,,
NCIO,,,
NewRegridderManager,,,
Plain_netCDF_Time,,,
regex_module,,,
RegridderSpec,,,
RegridderSpecRouteHandleMap,,,
RegridderTypeSpec,,,
RegridMethods,,,
ServerManager,,,
SimulationTime,,,
StringTemplate,,,
TimeStringConversion,,,